# See API at http://earthquake.usgs.gov/fdsnws/event/1/
# Table below results from this query:  http://earthquake.usgs.gov/fdsnws/event/1/query?format=text&starttime=2016-01-01&endtime=2016-01-02
#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
ak12383570|2016-01-01 23:52:04.000|53.237|-168.3619|12.1|ak|ak|ak|ak12383570|ml|2.2|ak|47km NE of Nikolski, Alaska
ci37509488|2016-01-01 23:41:23.670|34.2031667|-117.4028333|2.99|ci|ci|ci|ci37509488|ml|0.6|ci|2km S of Devore, California
us10004ddg|2016-01-01 23:17:29.490|26.5711|55.1188|10|us|us|us|us10004ddg|mb|4.3|us|23km E of Bandar-e Lengeh, Iran
us10004asf|2016-01-01 23:15:58.850|35.9688|-97.4016|5|us|us|us|us10004asf|mb_lg|3.2|us|10km NNE of Guthrie, Oklahoma
us10004bmy|2016-01-01 23:13:33.210|53.9447|-160.2874|33.66|us|us|us|us10004bmy|ml|3.4|us|105km SSW of Chernabura Island, Alaska
us10004ddf|2016-01-01 23:07:53.810|-4.7301|139.8842|15.32|us|us|us|us10004ddf|mb|4.6|us|156km NNW of Tanahmerah, Indonesia
us10004asd|2016-01-01 23:04:52.280|-20.5653|-179.1565|642.75|us|us|us|us10004asd|mb|5|us|48km W of Ndoi Island, Fiji
mb80118319|2016-01-01 23:04:15.380|46.0053333|-111.4053333|5.84|mb|mb|mb|mb80118319|ml|1.05|mb|16km NE of Three Forks, Montana
nn00525082|2016-01-01 22:55:40.445|41.8871|-119.6086|6.9|nn|nn|nn|nn00525082|ml|1.6|nn|69km ESE of Lakeview, Oregon
us10004as8|2016-01-01 22:40:26.600|35.9533|-97.3969|6.886|tul|us|us|us10004as8|ml|3.1|tul|8km NNE of Guthrie, Oklahoma
ci37509480|2016-01-01 22:39:13.790|36.1483333|-117.9835|1.35|ci|ci|ci|ci37509480|ml|2.45|ci|12km NNW of Coso Junction, California
us10004bn0|2016-01-01 22:36:52.220|55.7628|-157.9431|52.71|us|us|us|us10004bn0|mb|4|us|74km SE of Chignik Lake, Alaska
nn00525078|2016-01-01 22:36:13.066|38.287|-118.3768|7.8|nn|nn|nn|nn00525078|ml|0.3|nn|34km SE of Hawthorne, Nevada
ak12382599|2016-01-01 22:29:54.000|63.0651|-149.076|73.8|ak|ak|ak|ak12382599|ml|1.4|ak|36km S of Cantwell, Alaska
uu60134752|2016-01-01 22:27:51.270|40.731|-112.0581667|0.12|uu|uu|uu|uu60134752|md|0.58|uu|4km ENE of Magna, Utah
nc72572440|2016-01-01 22:19:13.580|37.7226667|-121.981|8.94|nc|nc|nc|nc72572440|md|1.58|nc|4km WNW of Dublin, California
mb80118459|2016-01-01 22:17:16.760|46.0135|-111.4076667|8.16|mb|mb|mb|mb80118459|ml|0.95|mb|17km NE of Three Forks, Montana
ak12382576|2016-01-01 22:12:01.000|60.611|-141.2047|8|ak|ak|ak|ak12382576|ml|1.2|ak|90km NE of Cape Yakataga, Alaska
mb80118529|2016-01-01 22:11:50.340|46.7818333|-114.1701667|2.17|mb|mb|mb|mb80118529|md|0.63|mb|7km WNW of Lolo, Montana
us10004as5|2016-01-01 22:08:04.700|35.6661|-97.3992|6.696|tul|us|us|us10004as5|ml|3|tul|7km ENE of Edmond, Oklahoma
ak12439428|2016-01-01 21:59:35.000|61.3331|-151.3169|67.2|ak|ak|ak|ak12439428|ml|1.7|ak|71km N of Nikiski, Alaska
us10004as0|2016-01-01 21:49:40.090|-9.0125|158.3119|14.82|us|us|us|us10004as0|mb|4.9|us|132km SW of Dadali, Solomon Islands
pr16001006|2016-01-01 21:49:18.000|19.1611|-66.408|22|pr|pr|pr|pr16001006|Md|2.8|pr|77km N of Brenas, Puerto Rico
nc72572435|2016-01-01 21:49:07.330|38.8223343|-122.8264999|2.27|nc|nc|nc|nc72572435|md|0.86|nc|7km NW of The Geysers, California
nn00524999|2016-01-01 21:43:58.512|41.8511|-119.6133|8.6|nn|nn|nn|nn00524999|ml|1.8|nn|71km ESE of Lakeview, Oregon
ak12381653|2016-01-01 21:32:57.000|61.6528|-150.0509|39.1|ak|ak|ak|ak12381653|ml|1.7|ak|10km S of Willow, Alaska
ci37509472|2016-01-01 21:29:23.940|36.0211667|-117.7723333|1.9|ci|ci|ci|ci37509472|ml|0.64|ci|15km NE of Little Lake, California
us10004ary|2016-01-01 21:28:35.740|44.7496|147.6296|113.08|us|us|us|us10004ary|mb|4.3|us|57km SSW of Kuril'sk, Russia
nc72572430|2016-01-01 21:27:38.030|38.8188324|-122.8176651|2.9|nc|nc|nc|nc72572430|md|0.54|nc|7km NW of The Geysers, California
nn00525081|2016-01-01 21:26:43.545|38.5133|-118.4098|5|nn|nn|nn|nn00525081|ml|0.2|nn|18km E of Hawthorne, Nevada
ak12381652|2016-01-01 21:26:28.000|63.25|-144.7371|7.8|ak|ak|ak|ak12381652|ml|0.7|ak|73km SSE of Deltana, Alaska
ak12381626|2016-01-01 21:24:14.000|62.9391|-149.503|75.4|ak|ak|ak|ak12381626|ml|1.8|ak|57km SSW of Cantwell, Alaska
ci37509464|2016-01-01 21:17:46.870|33.489|-116.4958333|11.06|ci|ci|ci|ci37509464|ml|0.42|ci|18km ESE of Anza, California
nn00524992|2016-01-01 21:07:41.610|39.7524|-119.5464|2.9|nn|nn|nn|nn00524992|ml|1|nn|17km NE of Spanish Springs, Nevada
mb80118534|2016-01-01 21:02:39.380|46.0118333|-111.4083333|5.89|mb|mb|mb|mb80118534|md|0.41|mb|17km NE of Three Forks, Montana
nc72572425|2016-01-01 21:02:19.640|38.8178333|-122.7853333|2.05|nc|nc|nc|nc72572425|md|0.22|nc|5km W of Cobb, California
ak12381608|2016-01-01 21:02:16.000|63.0638|-151.5006|8.7|ak|ak|ak|ak12381608|ml|1.2|ak|108km NW of Talkeetna, Alaska
nn00524991|2016-01-01 20:59:37.056|41.8599|-119.6128|8.9|nn|nn|nn|nn00524991|ml|2.2|nn|70km ESE of Lakeview, Oregon
nc72572420|2016-01-01 20:57:46.710|37.869|-122.2473333|8.65|nc|nc|nc|nc72572420|md|0.69|nc|2km E of Berkeley, California
ak12380708|2016-01-01 20:51:38.000|58.2292|-151.3528|32.2|ak|ak|ak|ak12380708|ml|2.7|ak|79km NE of Kodiak, Alaska
nc72572415|2016-01-01 20:50:55.450|38.8343315|-122.8178329|1.59|nc|nc|nc|nc72572415|md|0.56|nc|8km W of Cobb, California
mb80118464|2016-01-01 20:34:37.530|45.0291667|-111.8481667|5.86|mb|mb|mb|mb80118464|ml|0.84|mb|30km SSE of Virginia City, Montana
ci37509456|2016-01-01 20:29:29.600|34.1713333|-117.4205|2.79|ci|ci|ci|ci37509456|ml|0.68|ci|6km SSW of Devore, California
us10004ark|2016-01-01 20:28:07.600|35.8209|-97.4362|5.632|tul|us|us|us10004ark|ml|3.4|tul|6km S of Guthrie, Oklahoma
us10004as7|2016-01-01 20:24:16.340|54.467|-160.782|21.9|ak|us|us|us10004as7|ml|3.1|ak|86km WSW of Chernabura Island, Alaska
pr16001004|2016-01-01 20:19:09.700|19.385|-65.7536|61|pr|pr|pr|pr16001004|Md|2.7|pr|106km N of Loiza, Puerto Rico
mb80118309|2016-01-01 20:16:12.360|46.0178333|-111.4243333|5|mb|mb|mb|mb80118309|ml|1.68|mb|17km NE of Three Forks, Montana
ak12380655|2016-01-01 20:03:35.000|51.6527|-176.398|64.7|ak|ak|ak|ak12380655|ml|2.1|ak|31km SE of Adak, Alaska
nc72572400|2016-01-01 20:02:39.870|40.1755|-122.2288333|32.75|nc|nc|nc|nc72572400|md|2.56|nc|0km ESE of Red Bluff, California
ci37509448|2016-01-01 20:01:02.030|32.7835|-116.074|9.18|ci|ci|ci|ci37509448|ml|1.1|ci|9km NW of Ocotillo, California
mb80118304|2016-01-01 19:49:46.900|46.0171667|-111.423|5|mb|mb|mb|mb80118304|md|1.15|mb|17km NE of Three Forks, Montana
nc72572395|2016-01-01 19:43:08.500|38.8043333|-122.8126667|2.63|nc|nc|nc|nc72572395|md|0.2|nc|5km WNW of The Geysers, California
hv61140076|2016-01-01 19:38:33.850|19.9266663|-155.5551605|15.47|hv|hv|hv|hv61140076|ml|2.8|hv|16km SE of Waimea, Hawaii
mb80118469|2016-01-01 19:32:45.320|45.9951667|-111.3923333|5.72|mb|mb|mb|mb80118469|md|0.46|mb|16km NE of Three Forks, Montana
nc72572390|2016-01-01 19:28:28.370|37.4221667|-118.5745|15.35|nc|nc|nc|nc72572390|md|0.67|nc|12km WNW of West Bishop, California
us10004are|2016-01-01 19:23:29.780|-41.1025|-88.8877|10|us|us|us|us10004are|mb|4.5|us|West Chile Rise
ci37509440|2016-01-01 19:18:49.910|33.2593333|-116.26|6.74|ci|ci|ci|ci37509440|ml|0.97|ci|11km E of Borrego Springs, California
us10004dde|2016-01-01 19:16:32.310|6.2071|123.9268|548.91|us|us|us|us10004dde|mb|4|us|29km W of Palimbang, Philippines
nc72572385|2016-01-01 19:11:38.410|38.8236656|-122.8424988|1.58|nc|nc|nc|nc72572385|md|0.46|nc|9km NW of The Geysers, California
nn00524995|2016-01-01 19:10:43.819|36.6498|-116.9766|7.8|nn|nn|nn|nn00524995|ml|-0.1|nn|34km SW of Beatty, Nevada
us10004ddl|2016-01-01 19:02:07.670|-15.7499|-177.6941|441.29|us|us|us|us10004ddl|mb|4|us|168km SSE of Sigave, Wallis and Futuna
ak12378813|2016-01-01 18:44:23.000|62.9553|-150.8337|104.7|ak|ak|ak|ak12378813|ml|3.3|ak|79km NNW of Talkeetna, Alaska
nc72572375|2016-01-01 18:35:44.120|38.7816667|-122.7793333|1.51|nc|nc|nc|nc72572375|md|0.33|nc|2km WNW of The Geysers, California
nc72572370|2016-01-01 18:22:24.470|38.039|-122.2251667|7.58|nc|nc|nc|nc72572370|md|0.64|nc|1km SW of Crockett, California
